Date	P	T	Q	Q_predicted_RandomForest	Q_predicted_CatBoost	nse_score_RandomForest	nse_score_Catboost
2015-03-19	0.0	8.955	0.545	0.5698548220642322	0.5271651381668966	0.6861336845358852	0.7640098925533492
2015-03-20	0.009	7.084	0.5195	0.535406113522155	0.44147030641713725	0.6861336845358852	0.7640098925533492
2015-03-21	14.252	6.168	0.6398	0.5373453389700525	0.6085852061910728	0.6861336845358852	0.7640098925533492
2015-03-22	0.174	4.284	2.0087	2.28474768433836	2.235607213532055	0.6861336845358852	0.7640098925533492
2015-03-23	0.0	5.867	1.1064	1.746027036824287	1.0290662795258867	0.6861336845358852	0.7640098925533492
2015-03-24	0.0	6.878	0.8567	1.0678808045433896	0.7349596191376698	0.6861336845358852	0.7640098925533492
2015-03-25	5.285	8.253	0.7473	1.072115729405094	0.5434485963156003	0.6861336845358852	0.7640098925533492
2015-03-26	1.611	5.417	0.9077	1.2218042855867683	0.8111693489869238	0.6861336845358852	0.7640098925533492
2015-03-27	0.011	6.63	0.7455	1.051344703934895	0.8402171436249442	0.6861336845358852	0.7640098925533492
2015-03-28	0.536	7.04	0.6453	0.9139110680139819	0.719168398408732	0.6861336845358852	0.7640098925533492
2015-03-29	6.506	9.802	0.6489	0.8528154770624028	0.5640504328404523	0.6861336845358852	0.7640098925533492
2015-03-30	9.08	9.493	3.086	1.4746772312150567	1.192121817858454	0.6861336845358852	0.7640098925533492
2015-03-31	3.927	11.04	2.1181	3.0352861001651816	2.002876598646178	0.6861336845358852	0.7640098925533492
2015-04-01	5.624	4.346	2.366	1.6708489603174606	1.8401835424572242	0.6861336845358852	0.7640098925533492
2015-04-02	4.994	4.614	2.366	3.2522688003663	2.349232341290768	0.6861336845358852	0.7640098925533492
2015-04-03	4.208	4.501	2.3423	2.6333852829503708	2.298424905829469	0.6861336845358852	0.7640098925533492
2015-04-04	13.325	3.811	5.3481	3.116580299581637	2.692745661957912	0.6861336845358852	0.7640098925533492
2015-04-05	0.006	3.025	5.1895	3.991460995487845	4.5946707274339005	0.6861336845358852	0.7640098925533492
2015-04-06	0.017	2.513	2.6594	2.3010250812437034	2.8055158538331098	0.6861336845358852	0.7640098925533492
2015-04-07	0.0	3.556	1.8337	1.7726087469201395	1.9846973493600317	0.6861336845358852	0.7640098925533492
2015-04-08	0.0	6.242	1.4619	1.1396311976769884	1.46585459222211	0.6861336845358852	0.7640098925533492
2015-04-09	0.0	9.086	1.2103	1.0907925095866526	1.201548857255822	0.6861336845358852	0.7640098925533492
2015-04-10	0.003	11.988	1.0445	0.983018984715715	1.1092499041349626	0.6861336845358852	0.7640098925533492
2015-04-11	0.003	12.636	0.9059	0.9050038493935884	0.7446756854574248	0.6861336845358852	0.7640098925533492
2015-04-12	0.0	12.563	0.7893	0.7633928595226679	0.6640561862464421	0.6861336845358852	0.7640098925533492
2015-04-13	0.0	12.652	0.7328	0.6835257032468001	0.6948794006730176	0.6861336845358852	0.7640098925533492
2015-04-14	0.0	12.681	0.669	0.6016616135442877	0.7018222344091553	0.6861336845358852	0.7640098925533492
