Date	P	T	Q	Q_predicted_CatBoost	nse_score_Catboost
2060-02-17	20.68	9.75	2.37	4.912265518546978	0.8515044539707257
2060-02-18	5.24	4.36	8.9	7.341689978215699	0.8515044539707257
2060-02-19	0.02	6.54	4.72	3.3162832678690295	0.8515044539707257
2060-02-20	0.0	10.18	2.89	2.0056379729661638	0.8515044539707257
2060-02-21	5.28	10.32	2.13	1.7396615856193105	0.8515044539707257
2060-02-22	0.4	5.39	2.01	1.5627456020719506	0.8515044539707257
2060-02-23	0.4	4.72	1.65	1.352330018881134	0.8515044539707257
2060-02-24	13.08	5.06	2.82	1.120478885291276	0.8515044539707257
2060-02-25	10.85	7.48	4.04	3.3897088197326517	0.8515044539707257
2060-02-26	3.45	4.45	4.35	4.7392312133142065	0.8515044539707257
2060-02-27	1.0	3.21	3.24	2.7175435311539893	0.8515044539707257
2060-02-28	0.0	4.87	2.44	2.057062392368943	0.8515044539707257
2060-02-29	0.0	6.31	1.98	1.4046379212409434	0.8515044539707257
2060-03-01	0.0	7.6	1.61	1.096277015798158	0.8515044539707257
2060-03-02	11.05	4.62	1.45	1.0385354719231432	0.8515044539707257
2060-03-03	0.25	2.86	1.73	2.54786453388684	0.8515044539707257
2060-03-04	5.16	2.16	1.78	1.791007330382654	0.8515044539707257
2060-03-05	2.87	5.11	2.27	2.2144641868877364	0.8515044539707257
2060-03-06	0.02	3.38	2.05	1.9250433010087225	0.8515044539707257
2060-03-07	0.02	3.92	1.73	1.212797034581621	0.8515044539707257
2060-03-08	0.15	4.15	1.38	1.0790222298465368	0.8515044539707257
2060-03-09	0.0	5.05	1.24	1.017705436131673	0.8515044539707257
2060-03-10	0.0	5.69	1.09	0.9686233880500366	0.8515044539707257
2060-03-11	0.0	8.09	0.98	0.8183619830402742	0.8515044539707257
2060-03-12	0.0	6.54	0.94	0.7731837452694511	0.8515044539707257
2060-03-13	0.0	5.7	0.87	0.7128377698238987	0.8515044539707257
2060-03-14	4.38	7.07	0.85	0.7212437359857472	0.8515044539707257
2060-03-15	0.02	5.05	0.88	1.013920599425426	0.8515044539707257
2060-03-16	9.33	7.79	0.76	1.028022499422382	0.8515044539707257
2060-03-17	7.47	9.82	1.56	3.249325637312984	0.8515044539707257
2060-03-18	30.87	9.77	3.45	5.0897126356792715	0.8515044539707257
2060-03-19	2.3	3.84	9.47	9.761484571164619	0.8515044539707257
2060-03-20	3.8	2.83	5.37	4.088892438929976	0.8515044539707257
2060-03-21	0.0	3.45	4.05	2.3911637685630445	0.8515044539707257
2060-03-22	0.0	5.4	3.16	1.6391536970082512	0.8515044539707257
2060-03-23	0.0	9.71	2.32	1.3785266458444485	0.8515044539707257
2060-03-24	0.0	11.7	1.79	1.2954147355326042	0.8515044539707257
2060-03-25	2.66	11.34	1.49	1.0391765997323636	0.8515044539707257
2060-03-26	16.65	6.73	1.76	1.1392273243937419	0.8515044539707257
2060-03-27	4.37	1.85	2.26	3.2739862988164723	0.8515044539707257
2060-03-28	2.47	3.27	3.4	2.609313180170745	0.8515044539707257
2060-03-29	0.0	1.93	2.42	2.4092827188705757	0.8515044539707257
2060-03-30	7.43	3.26	1.9	1.528816613115564	0.8515044539707257
2060-03-31	12.4	6.03	6.33	3.870726775158915	0.8515044539707257
2060-04-01	0.0	11.77	4.86	4.001832811688809	0.8515044539707257
2060-04-02	0.0	11.94	3.0	2.169216116258334	0.8515044539707257
2060-04-03	0.0	16.11	2.17	1.5626610222309614	0.8515044539707257
2060-04-04	0.53	14.44	1.69	1.2942152577478536	0.8515044539707257
2060-04-05	0.0	14.68	1.38	0.9289966911611867	0.8515044539707257
2060-04-06	1.35	13.56	1.19	0.6587924072916611	0.8515044539707257
2060-04-07	0.0	9.03	1.09	0.5644841985643084	0.8515044539707257
2060-04-08	0.0	5.8	0.92	0.5536116729842144	0.8515044539707257
2060-04-09	0.21	6.3	0.86	0.5482239946433645	0.8515044539707257
2060-04-10	0.0	8.86	0.78	0.7361678819060291	0.8515044539707257
2060-04-11	5.44	9.85	0.77	0.6909373531131702	0.8515044539707257
2060-04-12	0.05	8.53	0.83	1.2535099284436115	0.8515044539707257
2060-04-13	0.88	6.05	0.66	1.0541981492288044	0.8515044539707257
2060-04-14	0.38	6.02	0.67	0.8686078098068515	0.8515044539707257
2060-04-15	6.5	6.63	0.82	0.9800923433771851	0.8515044539707257
2060-04-16	0.0	9.06	0.7	1.4375343433084324	0.8515044539707257
2060-04-17	0.0	12.34	0.64	1.02225566198077	0.8515044539707257
2060-04-18	5.92	11.58	0.6	0.9452033224267875	0.8515044539707257
2060-04-19	8.65	5.36	0.85	1.1392270205494983	0.8515044539707257
2060-04-20	0.0	11.45	1.13	1.58181412962333	0.8515044539707257
2060-04-21	0.0	15.13	0.73	1.43561915551368	0.8515044539707257
2060-04-22	0.0	14.49	0.62	0.9723789495822791	0.8515044539707257
2060-04-23	0.0	15.43	0.62	1.0468121296598372	0.8515044539707257
2060-04-24	29.04	12.46	0.88	1.51931380023699	0.8515044539707257
2060-04-25	4.67	9.5	6.87	5.4387673381799475	0.8515044539707257
2060-04-26	6.91	11.03	3.24	2.8653722342279195	0.8515044539707257
2060-04-27	0.0	13.08	3.04	2.1353069007338887	0.8515044539707257
2060-04-28	4.03	13.58	2.03	1.4192429614480206	0.8515044539707257
2060-04-29	0.13	13.78	1.54	1.2837146404844235	0.8515044539707257
2060-04-30	0.0	14.78	1.21	1.1637417640324192	0.8515044539707257
2060-05-01	0.0	14.52	1.04	0.9052326121448919	0.8515044539707257
2060-05-02	0.0	14.62	0.89	0.6341288000424916	0.8515044539707257
2060-05-03	0.0	15.07	0.79	0.5371947200952059	0.8515044539707257
2060-05-04	0.0	16.29	0.71	0.5318441119329114	0.8515044539707257
2060-05-05	0.0	17.96	0.67	0.4740854381139782	0.8515044539707257
2060-05-06	0.03	19.02	0.62	0.44467463610169267	0.8515044539707257
2060-05-07	10.71	18.63	0.61	0.45851932808593154	0.8515044539707257
2060-05-08	0.1	14.97	0.92	0.9405859426441949	0.8515044539707257
2060-05-09	0.0	12.86	0.64	0.5605001205544308	0.8515044539707257
2060-05-10	0.51	13.54	0.56	0.4076798440839319	0.8515044539707257
2060-05-11	17.35	13.16	0.55	0.6396580130702898	0.8515044539707257
2060-05-12	43.97	8.33	6.28	5.286660310494158	0.8515044539707257
2060-05-13	5.41	6.16	9.8	13.88668754978355	0.8515044539707257
2060-05-14	0.02	9.5	4.59	3.669542781466954	0.8515044539707257
2060-05-15	2.9	12.39	2.7	2.873316087271372	0.8515044539707257
2060-05-16	4.01	15.51	1.87	1.6441569179665947	0.8515044539707257
2060-05-17	9.31	12.09	1.86	1.8272374440000203	0.8515044539707257
2060-05-18	1.87	9.42	2.19	1.538293778907117	0.8515044539707257
2060-05-19	1.86	9.87	1.66	1.0186260363877797	0.8515044539707257
2060-05-20	0.01	10.67	1.35	0.6627507747755425	0.8515044539707257
2060-05-21	0.0	13.41	1.18	0.6880434242503239	0.8515044539707257
2060-05-22	0.0	16.18	0.99	0.7241528086749731	0.8515044539707257
2060-05-23	0.0	19.11	0.84	0.5348949977623235	0.8515044539707257
2060-05-24	0.0	21.44	0.72	0.5054512592736125	0.8515044539707257
2060-05-25	18.37	16.88	1.17	0.5990460436077354	0.8515044539707257
2060-05-26	0.03	16.88	1.35	3.005831912032208	0.8515044539707257
2060-05-27	0.0	18.48	0.8	1.0932404163724887	0.8515044539707257
2060-05-28	23.76	18.68	0.9	0.8580944411086735	0.8515044539707257
2060-05-29	46.12	16.31	2.64	8.735550206199672	0.8515044539707257
2060-05-30	59.3	14.02	25.47	17.851845000000004	0.8515044539707257
2060-05-31	20.39	12.69	41.18	31.47842	0.8515044539707257
2060-06-01	0.04	13.7	14.91	12.349394193817878	0.8515044539707257
2060-06-02	1.9	15.63	5.29	2.9160554276845865	0.8515044539707257
2060-06-03	5.36	15.55	3.29	1.7883916854807829	0.8515044539707257
2060-06-04	14.17	13.04	3.22	1.252711486236186	0.8515044539707257
2060-06-05	6.16	12.54	8.7	3.481557956636357	0.8515044539707257
2060-06-06	0.0	16.18	5.0	3.1699145815798535	0.8515044539707257
2060-06-07	19.43	16.21	3.96	1.3710424957207328	0.8515044539707257
2060-06-08	8.39	12.17	13.11	6.5247118893961655	0.8515044539707257
2060-06-09	22.08	14.35	5.66	4.302299197422731	0.8515044539707257
2060-06-10	7.64	12.37	15.46	6.648511745168837	0.8515044539707257
2060-06-11	10.49	13.03	6.38	3.9757327484911777	0.8515044539707257
2060-06-12	4.98	13.04	8.28	2.223231023195661	0.8515044539707257
2060-06-13	3.19	12.34	5.47	2.0266586417203802	0.8515044539707257
2060-06-14	0.48	14.92	3.83	1.6007204843530278	0.8515044539707257
2060-06-15	0.46	15.76	2.52	1.0640138305831806	0.8515044539707257
2060-06-16	0.12	18.42	1.86	0.6174634623718247	0.8515044539707257
2060-06-17	1.29	17.46	1.48	0.5349618755221323	0.8515044539707257
2060-06-18	0.0	20.18	1.26	0.519527260894393	0.8515044539707257
2060-06-19	6.35	22.29	1.07	0.43682879554535675	0.8515044539707257
2060-06-20	28.92	20.25	14.27	3.9985065901852956	0.8515044539707257
2060-06-21	0.99	17.57	5.79	4.135421772940635	0.8515044539707257
2060-06-22	2.34	13.2	3.03	1.8019424355656546	0.8515044539707257
2060-06-23	0.35	13.14	2.16	0.7762111074826172	0.8515044539707257
2060-06-24	0.0	16.67	1.6	0.7397908335890404	0.8515044539707257
2060-06-25	0.0	19.95	1.32	0.5171106634539546	0.8515044539707257
2060-06-26	0.0	22.47	1.12	0.40979572117823515	0.8515044539707257
2060-06-27	0.0	22.62	0.96	0.41907586490983356	0.8515044539707257
2060-06-28	0.0	21.13	0.84	0.4285517648215845	0.8515044539707257
2060-06-29	0.0	21.87	0.73	0.398416346681448	0.8515044539707257
2060-06-30	0.07	23.22	0.67	0.3931402544932522	0.8515044539707257
2060-07-01	14.86	22.92	0.65	0.5245493212108546	0.8515044539707257
2060-07-02	4.37	18.38	1.65	1.2415042736121067	0.8515044539707257
